Respondent,"1.1. Talked with City staff at a booth, event, festival, or at my door",1.2. Signed a petition,1.3. Participated in a grassroots protest or demonstration,1.4. Participated in Participatory Budgeting (Where residents identify ideas and vote on community projects),1.5. Participated in a City-led focus group,"1.6. Completed a City survey either online, by telephone, or in-person",1.7. Served on a City Council advisory committee,1.8. Made a written or verbal presentation to a City committee,1.9. Attended an open house,1.10. Called or emailed City staff directly,1.11. Watched a City Council or a committee meeting in-person or online,1.12. Helped plan an engagement activity with the City,1.13. Read and/or responded to social media posts by the City,"1.14. Received training, funding, or support to participate in a City-run community leadership program",1.15. Participated in an in-person or online consultation,1.16. Helped to design a space such as a community centre or the way a street is laid out,1.17. Submitted a compliment or complaint to the City through 311,1.18. Submitted feedback through the City's website,1.19. Called or emailed the Mayor or a City Councillor,1.20. This survey is the first time I am participating or getting involved with the City,3.1. The City considers my ideas,3.2. The City makes it clear where I can and cannot influence decisions,"3.3. The City communicates progress on projects, policy change or changes to services regularly",3.4. The City often uses technical or complex language that can be difficult to understand,3.5. I see people participating who have similar experiences or look like me,3.6. Some participants have less influence than others on decisions,"3.7. My community's strengths, abilities and ideas contribute to the solution",3.8. I understand the City<92>s reasoning for why a decision was made,"3.9. The City's engagement activities are relevant to me, my family and/or my community",3.10. The City creates spaces that are free of unwelcoming behaviour and offensive language,"7.1. I don't have regular internet access or data, which makes joining meetings harder","7.2. It is easier for people to say offensive things in virtual meetings (e.g. racist, sexist, homophobic, transphobic, and other oppressive language)",7.3. Virtual meetings are more convenient as I can join from anywhere,7.4. It is easy to connect with City staff during and/or after an virtual meeting to discuss my ideas or concerns,7.5. Logging into virtual activities is easy and I know where to get technical help,7.6. I have enough time to talk about the topic at virtual meetings,7.7. I can get to know other community members,7.8. I feel safe in a virtual environment,7.9. The software the City uses is easy to use,"7.10. The City should offer more hybrid meetings, where I can have options to attend meetings virtually or in-person"
800,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree
802,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree
803,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree
804,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
806,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree
807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
810,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Strongly disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree
812,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Strongly Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree
813,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,NA,Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
814,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree
815,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,Strongly agree,NA,NA,Agree,Strongly disagree,NA,Strongly disagree,NA,NA,NA,NA,NA,NA,Disagree,Strongly Disagree,Agree,NA,NA
816,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree
817,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,Neither agree nor disagree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree
819,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree
820,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree
821,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree
822,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree
825,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree
826,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree
828,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree
831,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Strongly Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Disagree
833,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,Strongly disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree
834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree
838,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,NA,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree
839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
840,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree
841,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither Agree nor Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
842,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,Agree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree
844,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Agree
845,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
846,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree
849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree
850,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree
851,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree
852,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree
853,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Agree,Agree
854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree
855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree
856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
858,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Agree
859,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
860,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree
861,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree
862,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree
863,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree
864,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree
866,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
867,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Agree,Disagree,Agree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree
868,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree
869,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,Neither agree nor disagree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree
870,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree
